,precision,recall,f1-score,support
Negativo,0.0625,0.012048192771084338,0.020202020202020204,83.0
Positivo,0.9661157024793389,0.9936251593710157,0.9796773517703751,2353.0
accuracy,0.9601806239737274,0.9601806239737274,0.9601806239737274,0.9601806239737274
macro avg,0.5143078512396695,0.50283667607105,0.49993968598619765,2436.0
weighted avg,0.9353274827314797,0.9601806239737274,0.9469858687982184,2436.0
