,precision,recall,f1-score,support
Negativo,0.25,0.04,0.06896551724137932,75.0
Positivo,0.9702970297029703,0.9961880559085133,0.9830721003134796,2361.0
accuracy,0.9667487684729064,0.9667487684729064,0.9667487684729064,0.9667487684729064
macro avg,0.6101485148514851,0.5180940279542566,0.5260188087774295,2436.0
weighted avg,0.948120397015071,0.9667487684729064,0.9549284247262844,2436.0
