,precision,recall,f1-score,support
Negativo,0.3333333333333333,0.021739130434782608,0.04081632653061224,92.0
Positivo,0.9629629629629629,0.9982935153583617,0.980310012568077,2344.0
accuracy,0.9614121510673235,0.9614121510673235,0.9614121510673235,0.9614121510673235
macro avg,0.6481481481481481,0.5100163228965722,0.5105631695493447,2436.0
weighted avg,0.9391838472298242,0.9614121510673235,0.944828313423805,2436.0
